Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite1,Chrome 134.0.6998.118,,,23-03-2025 20:40:46,23-03-2025 20:41:25,"39,924s",PASSED
,,,,,,,
Test Cases/TC01,Chrome 134.0.6998.118,,,23-03-2025 20:40:46,23-03-2025 20:41:25,"39,739s",PASSED
"openBrowser(""https://www.google.com/"")",Chrome 134.0.6998.118,,,23-03-2025 20:40:46,23-03-2025 20:40:51,"5,114s",PASSED
"waitForElementNotClickable(findTestObject(""Busca""), 0)",Chrome 134.0.6998.118,,,23-03-2025 20:40:51,23-03-2025 20:41:22,"30,974s",PASSED
takeFullPageScreenshot(),Chrome 134.0.6998.118,,,23-03-2025 20:41:22,23-03-2025 20:41:23,"0,550s",PASSED
"sendKeys(findTestObject(""Busca""), ""Felipe Desiglo Ferrare"")",Chrome 134.0.6998.118,,,23-03-2025 20:41:23,23-03-2025 20:41:23,"0,467s",PASSED
"click(findTestObject(""BntBuscar""))",Chrome 134.0.6998.118,,,23-03-2025 20:41:23,23-03-2025 20:41:25,"1,908s",PASSED
waitForPageLoad(0),Chrome 134.0.6998.118,,,23-03-2025 20:41:25,23-03-2025 20:41:25,"0,071s",PASSED
takeFullPageScreenshot(),Chrome 134.0.6998.118,,,23-03-2025 20:41:25,23-03-2025 20:41:25,"0,445s",PASSED
